participantID,initial_prompt_date,answer_status,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled
grumblystiffnessuntainted,2021-03-31,NeverStarted,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
grumblystiffnessuntainted,2021-04-01,Completed,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-02,Completed,4.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-03,Completed,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-04,Completed,4.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-05,Completed,4.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-06,Completed,3.0,2.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,0.0
grumblystiffnessuntainted,2021-04-07,Completed,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-08,NeverStarted,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
grumblystiffnessuntainted,2021-04-09,Completed,4.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-10,Completed,4.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,1.0,0.0
grumblystiffnessuntainted,2021-04-11,Completed,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-12,Completed,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-13,Completed,3.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-13,Completed,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,0.0
grumblystiffnessuntainted,2021-04-14,NeverStarted,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
grumblystiffnessuntainted,2021-04-15,Completed,4.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0
grumblystiffnessuntainted,2021-04-16,Completed,3.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-17,Completed,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-18,Completed,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-19,Completed,3.0,3.0,5.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0
grumblystiffnessuntainted,2021-04-19,Completed,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-20,Completed,3.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-21,Completed,3.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0
grumblystiffnessuntainted,2021-04-22,NeverStarted,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
grumblystiffnessuntainted,2021-04-23,Completed,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-24,Completed,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,0.0
grumblystiffnessuntainted,2021-04-25,Completed,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-26,Completed,3.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-27,Completed,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-04-27,Completed,3.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,0.0
grumblystiffnessuntainted,2021-04-28,Completed,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,0.0
grumblystiffnessuntainted,2021-04-29,Completed,4.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0
grumblystiffnessuntainted,2021-04-30,Completed,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0
